Date,Open,High,Low,Close,AdjClose,Volume
1/1/1962,7.713333,7.713333,7.003334,7.226666,2.077531,8760000
2/1/1962,7.3,7.48,7.093333,7.16,2.058365,5737600
3/1/1962,7.186666,7.413333,7.07,7.103333,2.042352,5344000
4/1/1962,7.1,7.1,6,6.053333,1.740458,12851200
5/1/1962,6.053333,6.53,4.733333,5.233333,1.504689,49307200
6/1/1962,5.213333,5.213333,4,4.523334,1.300756,68451200
7/1/1962,4.523334,5.246666,4.513333,5.16,1.483839,41052800
8/1/1962,5.146667,5.53,4.94,5.283333,1.519304,41353600
9/1/1962,5.283333,5.353333,4.646667,4.713333,1.35566,33204800
10/1/1962,4.713333,4.956666,4.293334,4.613333,1.326898,42958400
11/1/1962,4.613333,5.356667,4.56,5.313334,1.528234,36654400
12/1/1962,5.26,5.413333,5.086667,5.2,1.49595,21891200
1/1/1963,5.2,5.66,5.123333,5.65,1.625409,28531200
2/1/1963,5.65,5.665,5.32,5.33,1.533349,13190400
3/1/1963,5.33,5.643333,5.296667,5.613333,1.615245,12147200
4/1/1963,5.613333,6.326667,5.566667,6.183333,1.779262,18203200
5/1/1963,6.183333,6.38,6.1,6.363333,1.831056,11387200
6/1/1963,6.363333,6.383333,5.76,5.816667,1.674116,12854400
7/1/1963,5.816667,5.973333,5.67,5.793334,1.667401,16763200
8/1/1963,5.793334,6.126667,5.733333,5.93,1.706736,13878400
9/1/1963,5.938334,6.253334,5.938334,6.026667,1.734954,18100800
10/1/1963,6.026667,6.69,5.98,6.586667,1.896167,24403200
11/1/1963,6.586667,6.61,6.146667,6.47,1.862579,12488000
12/1/1963,6.506667,6.793334,6.313334,6.76,1.946564,13035200
1/1/1964,6.8,7.56,6.766667,7.226666,2.080941,22300800
2/1/1964,7.226666,7.686666,7.12,7.586667,2.184606,11291200
3/1/1964,7.586667,7.926667,7.413333,7.923333,2.282077,11723200
4/1/1964,7.933333,8.02,7.603333,7.603333,2.189912,12776000
5/1/1964,7.613333,8.233334,7.613333,8,2.304159,10512000
6/1/1964,8,8.058333,7.683333,7.95,2.29034,8619200
7/1/1964,7.979167,8.2,7.666667,7.7,2.218316,9276800
8/1/1964,7.7,7.7,7.091667,7.341667,2.115083,11555200
9/1/1964,7.341667,7.433333,6.866667,7.275,2.096447,11804800
10/1/1964,7.275,7.275,6.916667,7,2.0172,7595200
11/1/1964,6.995833,7.241667,6.875,6.875,1.981179,8470400
12/1/1964,6.858333,6.966667,6.783333,6.825,1.967353,8364800
1/1/1965,6.825,7.5,6.733333,7.475,2.154722,11296000
2/1/1965,7.458333,7.61875,7.083333,7.595833,2.189552,7942400
3/1/1965,7.595833,7.825,7.466667,7.570833,2.183082,7204800
4/1/1965,7.583333,8.083333,7.583333,8.083333,2.330862,6395200
5/1/1965,8.066667,8.191667,7.666667,7.966667,2.297219,5681600
6/1/1965,7.933333,7.958333,7.291667,7.633333,2.201785,14480000
7/1/1965,7.633333,7.983333,7.583333,7.983333,2.302741,7908800
8/1/1965,7.983333,8.397917,7.904167,8.316667,2.398889,9350400
9/1/1965,8.316667,8.620833,8.3,8.541667,2.464566,7246400
10/1/1965,8.5125,8.883333,8.3875,8.883333,2.563148,7057600
11/1/1965,8.883333,9.233334,8.7,8.75,2.524678,4550400
12/1/1965,8.75,8.795834,8.2375,8.316667,2.400321,12908800
1/1/1966,8.291667,8.558333,7.866667,8.266666,2.385889,12648000
2/1/1966,8.266666,8.745833,8.133333,8.583333,2.477284,8011200
3/1/1966,8.583333,8.75,8.241667,8.6,2.482837,9123200
4/1/1966,8.6,9.366667,8.566667,9.291667,2.682523,7316800
5/1/1966,9.291667,9.35,8.6,9.06875,2.618166,10494400
6/1/1966,8.9125,9.1625,8.3125,8.7625,2.530508,13753600
7/1/1966,8.80625,9.0375,8.51875,8.51875,2.460116,6025600
8/1/1966,8.51875,8.76875,7.65625,8.0125,2.313917,10428800
9/1/1966,8.0125,8.4625,7.6625,7.9375,2.292994,10038400
10/1/1966,7.9375,8.371875,7.2375,8.3,2.397711,11531200
11/1/1966,8.359375,9.425,8.359375,9.4,2.715481,10068800
12/1/1966,9.4,9.65,9.075,9.2875,2.683839,6968000
1/1/1967,9.2875,10.15,9.0625,9.9875,2.886119,10628800
2/1/1967,9.85,10.88125,9.7625,10.75,3.106462,6753600
3/1/1967,10.8125,11.525,10.8,11.275,3.25907,7043200
4/1/1967,11.1875,12.475,10.925,12.4125,3.587868,8220800
5/1/1967,12.125,12.125,11.45,11.65625,3.369271,8121600
6/1/1967,11.65625,12.775,11.5875,12.4375,3.595891,9611200
7/1/1967,12.4375,12.7375,12.2,12.69375,3.669977,6238400
8/1/1967,12.69375,12.8625,12.13125,12.49375,3.612155,5624000
9/1/1967,12.49375,13.9375,12.4625,13.70625,3.963568,7054400
10/1/1967,13.7,15.0125,13.525,14.8375,4.290698,6659200
11/1/1967,14.725,15.5125,14.1875,15.3,4.424443,9472000
12/1/1967,15.3,16.200001,15.25,15.675,4.541461,6500800
1/1/1968,15.675,15.68125,14.71875,14.8625,4.306059,10377600
2/1/1968,14.8625,15.05,14.2125,14.5,4.201032,10609600
3/1/1968,14.5,15.325,14,15.3125,4.446135,11905600
4/1/1968,15.6375,16.9375,15.625,16.9375,4.917969,11107200
5/1/1968,16.975,17.85,16.125,17.85,5.182918,11739200
6/1/1968,18.450001,18.75,17.25,17.6875,5.14535,10641600
7/1/1968,17.6875,18.25,16.299999,16.9375,4.927171,9384000
8/1/1968,16.9375,17.325001,16.5,16.75,4.872628,7364800
9/1/1968,16.75,17.075001,16.5,16.75,4.882021,6200000
10/1/1968,16.525,16.65,15.225,15.35,4.473971,17635200
11/1/1968,15.4,16.737499,15.375,16.6875,4.863804,10878400
12/1/1968,16.6875,16.737499,15.5,15.75,4.590555,8513600
1/1/1969,15.75,15.7625,14.75,14.8125,4.317308,15188800
